ENSMUSG00000018574	P50544	SUBUNIT: Homodimer. {ECO:0000250}.
ENSMUSG00000072115	P21570	SUBUNIT: Homodimer. Interacts with and forms a tight 1:1 complex with RNH1. Dimerization of two such complexes may occur (By similarity). {ECO:0000250|UniProtKB:P03950}.
ENSMUSG00000024659	P10107	SUBUNIT: Homodimer; non-covalently linked (By similarity). Homodimer; linked by transglutamylation. Homodimers linked by transglutamylation are observed in placenta, but not in other tissues. Interacts with S100A11. Heterotetramer, formed by two molecules each of S100A11 and ANXA1 (By similarity). Interacts with DYSF (PubMed:14506282). Interacts with EGFR (By similarity). {ECO:0000250|UniProtKB:P04083, ECO:0000250|UniProtKB:P19619, ECO:0000269|PubMed:14506282}.
ENSMUSG00000028743	Q8CG76	SUBUNIT: Homodimer. {ECO:0000269|PubMed:16460003}.
ENSMUSG00000005686	O08739	SUBUNIT: Homotetramer. {ECO:0000250}.
ENSMUSG00000039682	Q9CPY7	SUBUNIT: Homohexamer. {ECO:0000250}.
ENSMUSG00000078651	Q812C9	SUBUNIT: Homodimer; disulfide-linked (By similarity). Forms a heterodimer with AOC3 (By similarity). {ECO:0000250|UniProtKB:O75106, ECO:0000250|UniProtKB:P19801}.
ENSMUSG00000042596	Q91ZK0	SUBUNIT: Binds DNA as a dimer. Can form homodimers or heterodimers with other AP-2 family members. {ECO:0000269|PubMed:11522791}.
ENSMUSG00000027460	Q9WVH6	SUBUNIT: Homodimer; disulfide-linked. Interacts with TEK/TIE2. {ECO:0000269|PubMed:15284220}.
ENSMUSG00000027931	P18293	SUBUNIT: Homodimer. {ECO:0000250}.
ENSMUSG00000019326	O70423	SUBUNIT: Homodimer; disulfide-linked (By similarity). Forms a heterodimer with AOC2 (By similarity). {ECO:0000250|UniProtKB:P19801, ECO:0000250|UniProtKB:Q16853}.
ENSMUSG00000079554	Q5SGK3	SUBUNIT: Homodimer. {ECO:0000250}.
ENSMUSG00000064294	G3X982	SUBUNIT: Homodimer. {ECO:0000269|PubMed:23019336}.
ENSMUSG00000038242	Q3TYQ9	SUBUNIT: Homodimer. {ECO:0000250}.
ENSMUSG00000035960	P28352	SUBUNIT: Monomer. Homodimer; disulfide-linked. Component of the SET complex, composed of at least APEX1, SET, ANP32A, HMGB2, NME1 and TREX1. Associates with the dimer XRCC5/XRCC6 in a DNA-dependent manner. Interacts with SIRT1; the interaction is increased in the context of genotoxic stress. Interacts with HDAC1, HDAC2 and HDAC3; the interactions are not dependent on the APEX1 acetylation status. Interacts with XRCC1; the interaction is induced by SIRT1 and increased with the APEX1 acetylated form. Interacts with NPM1 (via N-terminal domain); the interaction is RNA-dependent and decreases in hydrogen peroxide-damaged cells. Interacts (via N-terminus) with YBX1 (via C-terminus); the interaction is increased in presence of APEX1 acetylated at Lys-6 and Lys-7. Interacts with HNRNPL; the interaction is DNA-dependent. Interacts (via N-terminus) with KPNA1 and KPNA2. Interacts with TXN; the interaction stimulates the FOS/JUN AP-1 complex DNA-binding activity in a redox-dependent manner. Interacts with GZMA, KRT8, MDM2, POLB, PRDX6, PRPF19, RPLP0, TOMM20 and WDR77. Binds to CDK5. {ECO:0000269|PubMed:20473298}.
ENSMUSG00000032080	P06728	SUBUNIT: Homodimer. {ECO:0000250|UniProtKB:P06727}.
ENSMUSG00000022548	P51910	SUBUNIT: Homodimer. {ECO:0000250}.
ENSMUSG00000033508	Q09PK2	SUBUNIT: Homodimer. {ECO:0000269|PubMed:16837463, ECO:0000305}.
ENSMUSG00000025533	Q91YI0	SUBUNIT: Homotetramer.
ENSMUSG00000030654	Q9JKW0	SUBUNIT: Homooligomer (By similarity). Heterodimer with ARL6IP5 (PubMed:18684713). Interacts with ARL6 (PubMed:10508919). Interacts with TMEM33. Interacts with ATL1 (By similarity). {ECO:0000250|UniProtKB:Q15041, ECO:0000269|PubMed:10508919, ECO:0000269|PubMed:18684713}.
ENSMUSG00000021125	O08691	SUBUNIT: Homotrimer. {ECO:0000250}.
ENSMUSG00000060216	Q91YI4	SUBUNIT: Homooligomer; the self-association is mediated by InsP6-binding (Probable). Heterooligomer with ARRB1; the association is mediated by InsP6-binding. Interacts with ADRB2 AND CHRM2. Interacts with PDE4A. Interacts with PDE4D. Interacts with MAPK10, MAPK1 and MAPK3. Interacts with DRD2. Interacts with FSHR. Interacts with CLTC. Interacts with HTR2C. Interacts with CCR5. Interacts with CXCR4. Interacts with SRC. Interacts with DUSP16; the interaction is interrupted by stimulation of AGTR1 and activation of MAPK10. Interacts with CHUK; the interaction is enhanced stimulation of ADRB2. Interacts with RELA. Interacts with MDM2; the interaction is enhanced by activation of GPCRs. Interacts with SLC9A5. Interacts with TRAF6. Interacts with IGF1R. Interacts with ENG. Interacts with ARRB2. Interacts with KIR2DL1, KIR2DL3 and KIR2DL4. Interacts with LDLR. Interacts with AP2B1. Interacts with C5AR1. Interacts with RAF1. Interacts with MAP2K1. Interacts with MAPK1. Interacts with MAPK10; the interaction enhances MAPK10 activation by MAP3K5. Interacts with MAP2K4; the interaction is enhanced by presence of MAP3K5 and MAPK10. Interacts with MAP3K5. Interacts with AKT1. Interacts with IKBKB and MAP3K14. Interacts with SMO (activated). Interacts with GSK3A and GSK3B. Interacts with CXCR4; the interaction is dependent on C-terminal phosphorylation of CXCR4 and allows activation of MAPK1 and MAPK3. Interacts with GPR143. Interacts with HCK and CXCR1 (phosphorylated) (By similarity). Associates with protein phosphatase 2A (PP2A). Interacts with ACKR3 and ACKR4 (By similarity). {ECO:0000250, ECO:0000305}.
ENSMUSG00000028539	Q9Z0L2	SUBUNIT: Homodimer; disulfide-linked (By similarity). Binds to RET. {ECO:0000250}.
ENSMUSG00000022377	Q9QWY8	SUBUNIT: Homodimer. Interacts with SRC and CRK. Interacts with RAB11FIP3. Interacts with PTK2B/PYK2. {ECO:0000269|PubMed:12771146, ECO:0000269|PubMed:18685082}.
ENSMUSG00000020704	Q925H0	SUBUNIT: Homotrimer or heterotrimer with other ASIC proteins (By similarity). Interacts with PRKCABP and ASIC3 (By similarity). Interacts with STOM; this regulates channel activity. {ECO:0000250, ECO:0000269|PubMed:15471860, ECO:0000269|PubMed:22850675}.
ENSMUSG00000040940	Q61210	SUBUNIT: Interacts with RHOA, GNA12 and GNA13 (By similarity). Homooligomerizes through the coiled coil region. Interacts with CTNNAL1 (By similarity). May interact with CCPG1. {ECO:0000250, ECO:0000269|PubMed:12773540, ECO:0000269|PubMed:8910315}.
ENSMUSG00000023017	Q6NXK8	SUBUNIT: Homotrimer or heterotrimer with other ASIC proteins (By similarity). Interacts with PRKCABP and ASIC2 (By similarity). Interacts with STOM. {ECO:0000250, ECO:0000269|PubMed:15471860}.
ENSMUSG00000004655	Q02013	SUBUNIT: Homotetramer. Identified in a complex with STOM (By similarity). Interacts with EPHB2; involved in endolymph production in the inner ear. {ECO:0000250, ECO:0000269|PubMed:10839360}.
ENSMUSG00000019987	Q61176	SUBUNIT: Homotrimer. {ECO:0000250}.
ENSMUSG00000019564	Q62431	SUBUNIT: Homodimer. Heterodimer with ARID3B. Interacts with E2F1 (By similarity). Interacts with GTF2I and BTK. {ECO:0000250, ECO:0000269|PubMed:11120822, ECO:0000269|PubMed:15456761, ECO:0000269|PubMed:16738337}.
ENSMUSG00000022620	P50428	SUBUNIT: Homodimer at neutral pH and homooctamer at acidic pH. Exists both as a single chain of 58 kDa (component A) or as a chain of 50 kDa (component B) linked by disulfide bond(s) to a 7 kDa chain (component C). Interacts with SUMF1 (By similarity). {ECO:0000250}.
ENSMUSG00000033007	Q7TNS7	SUBUNIT: Homotrimer or heterotrimer with other ASIC proteins. {ECO:0000250}.
ENSMUSG00000020359	Q8R1K4	SUBUNIT: Homotetramer. {ECO:0000250}.
ENSMUSG00000026663	F6VAN0	SUBUNIT: Homodimer and heterodimer with ATF6-beta. The dimer interacts with the nuclear transcription factor Y (NF-Y) trimer through direct binding to NF-Y subunit C (NF-YC). Interacts also with the transcription factors GTF2I, YY1 and SRF. Interacts with XBP1 isoform 2; the interaction occurs in a ER stress-dependent manner (By similarity). Interacts (via lumenal domain) with THBS1 (PubMed:22682248). Interacts with THBS4 (via EGF-like 3; calcium-binding domain) which facilitates its processing, activation and nuclear translocation (PubMed:22682248). {ECO:0000250|UniProtKB:P18850, ECO:0000269|PubMed:22682248}.
ENSMUSG00000018909	Q8BWG8	SUBUNIT: Monomer. Homodimer. Homooligomer; the self-association is mediated by InsP6-binding. Heterooligomer with ARRB2; the association is mediated by InsP6-binding. Interacts with ADRB2 (phosphorylated). Interacts with CHRM2 (phosphorylated). Interacts with LHCGR. Interacts with CYTH2 and CASR. Interacts with AP2B1 (dephosphorylated); phosphorylation of AP2B1 disrupts the interaction. Interacts (dephosphorylated at Ser-412) with CLTC. Interacts with CCR2 and ADRBK1. Interacts with CRR5. Interacts with PTAFR (phosphorylated on serine residues). Interacts with CLTC and MAP2K3. Interacts with CREB1. Interacts with TRAF6. Interacts with IGF1R and MDM2. Interacts with C5AR1. Interacts with PDE4D. Interacts with SRC (via the SH3 domain and the protein kinase domain); the interaction is independent of the phosphorylation state of SRC C-terminus. Interacts with TACR1. Interacts with RAF1. Interacts with DVL1; the interaction is enhanced by phosphorylation of DVL1. Interacts with DVL2; the interaction is enhanced by phosphorylation of DVL2. Interacts with IGF1R. Interacts with CHUK, IKBKB and MAP3K14. Associates with MAP kinase p38. Part of a MAPK signaling complex consisting of TACR1, ARRB1, SRC, MAPK1 (activated) and MAPK3 (activated). Part of a MAPK signaling complex consisting of F2RL1, ARRB1, RAF1, MAPK1 (activated) and MAPK3 (activated). Interacts with GPR143 (By similarity). Interacts with MAP2K4/MKK4. Interacts with HCK and CXCR1 (phosphorylated) (By similarity). Interacts with ACKR3 and ACKR4 (By similarity). {ECO:0000250}.
ENSMUSG00000056055	P20443	SUBUNIT: Monomer. Homodimer. Homotetramer. {ECO:0000269|PubMed:21288033}.
ENSMUSG00000030793	Q9EPB4	SUBUNIT: Self-associates; enforced oligomerization induces apoptosis, NF-kappa-B regulation and interleukin-1 beta seceretion. Homooligomers can form disk-like particles of approximately 12 nm diameter and approximately 1 nm height. Component of several inflammasomes containing one pattern recognition receptor/sensor, such as NLRP1, NLRP2, NLRP3, AIM2, MEFV or NOD2, and probably NLRC4, NLRP12 or IFI16. Major component of the ASC pyroptosome, a 1-2 um supramolecular assembly (one per macrophage cell) which consists of oligomerized PYCARD dimers and CASP1. Interacts with CASP1 (precursor form); the interaction induces activation of CASP1 leading to the processing of interleukin-1 beta; PYCARD competes with RIPK2 for binding to CASP1. Interacts with NLRP3; the interaction requires the homooligomerization of NLRP3. Interacts with NLRP2, NLRC4, MEFV, CARD16, AIM2, IFI16, NOD2, DDX58, RIPK2, PYDC1, PYDC2, NLRP10, CASP8, CHUK, IKBKB and BAX. {ECO:0000269|PubMed:22555457}.
ENSMUSG00000038276	Q6X1Y6	SUBUNIT: Homotrimer or heterotrimer with other ASIC proteins (By similarity). Interacts with DLG4 and ASIC2 (By similarity). Interacts with LIN7B, MAGI1/BAIAP1 and GOPC. Interacts with STOM; this regulates channel activity. {ECO:0000250, ECO:0000269|PubMed:15317815, ECO:0000269|PubMed:15471860, ECO:0000269|PubMed:22850675}.
ENSMUSG00000028008	Q9R0Y1	SUBUNIT: Homotrimer or heterotrimer with other ASIC proteins. {ECO:0000250}.
ENSMUSG00000054428	O35143	SUBUNIT: Homodimer; represents the active form and is present at a pH value below 6.5. Homotetramer; represents the inactive form and is present at a pH value above 7.0 (By similarity). {ECO:0000250}.
ENSMUSG00000052456	O54984	SUBUNIT: Homodimer. Component of a transmembrane domain recognition complex (TRC). Interacts with SERP1 and SEC61B. Interacts with WRB. {ECO:0000255|HAMAP-Rule:MF_03112}.
ENSMUSG00000027104	P16951	SUBUNIT: Binds DNA as a dimer and can form a homodimer in the absence of DNA. Can form a heterodimer with JUN. Heterodimerization is essential for its transcriptional activity. Interacts with SMAD3 and SMAD4. Interacts with the HK1/VDAC1 complex. Interacts with NBN, MRE11A, XPO1, KAT5 and CUL3 (By similarity). Binds through its N-terminal region to UTF1 which acts as a coactivator of ATF2 transcriptional activity. {ECO:0000250, ECO:0000269|PubMed:9524124}.
ENSMUSG00000021066	Q8BH66	SUBUNIT: Monomer as apoprotein and in the GDP-bound form. Homodimer in the GTP-bound form. Homooligomer. Interacts (via N-terminal region) with MAP4K4 (via CNH regulatory domain). Interacts with SPAST; interaction is direct (By similarity). Interacts with REEP5, RTN3 and probably RTN4 (via the transmembrane region) (PubMed:19665976). Interacts with REEP1 (By similarity). Interacts with CPT1C (By similarity). Interacts with ARL6IP1 (By similarity). {ECO:0000250|UniProtKB:Q6PST4, ECO:0000250|UniProtKB:Q8WXF7, ECO:0000269|PubMed:19665976}.
ENSMUSG00000076441	P16460	SUBUNIT: Homotetramer. Interacts with NMRAL1 (By similarity). {ECO:0000250}.
ENSMUSG00000099083	Q8R0S1	SUBUNIT: Homodimer; binds DNA as homodimer (By similarity). Heterodimer; heterodimerizes with other members of ATF family and with JUN family members (By similarity). Interacts with JNK2; the interaction does not phosphorylate ATF7 but acts as a docking site for other ATF-associated partners such as JUN family members. Interacts (via its transactivation domain) with TAF12 the interaction potentiates the transactivation activity and is inhibited by ATF7 sumoylation. Interacts with TAF4; the interaction inhibits the TAF12-dependent transactivation. Interacts with MAPK9; the interaction does not phosphorylate ATF7 but acts as a docking site for ATF7-associated partners such as JUN (By similarity). {ECO:0000250}.
ENSMUSG00000029036	Q925I1	SUBUNIT: Can form homooligomers. Homodimer formation at the N-terminus may be regulated by ATP and is required for the interaction with the inner surface of the mitochondrial outer membrane and correct mitochondrial homeostasis. Interacts with components of the mitochondrial ribosome and with other proteins involved in mitochondrial RNA metabolism. May also interact with protein involved in lipid metabolism, including STARD9. May interact with FAM210A. Interacts with GADD45GIP1. Interacts with S100B in a Ca(+2)- and Zn(+2)-dependent manner; this interaction probably occurs in the cytosol prior to mitochondrial targeting. S100B could assist ATAD3A cytoplasmic processing, preventing aggregation and favoring mitochondrial localization. Interacts with HSP60/HSPD1. Forms heterooligomers with ATAD3B; this interaction may affect ATAD3A activity (By similarity). {ECO:0000250}.
ENSMUSG00000026628	Q60765	SUBUNIT: Binds DNA as a homodimer or a heterodimer.
ENSMUSG00000042406	Q06507	SUBUNIT: Binds DNA as a homodimer and as a heterodimer (By similarity). Interacts with CEBPB and binds DNA as a heterodimer with CEBPB (PubMed:11018027). Interacts with CEP290 (via an N-terminal region). Interacts with NEK6, DAPK2 (isoform 2) and ZIPK/DAPK3. Interacts (via its leucine zipper domain) with GABBR1 and GABBR2 (via their C-termini) (By similarity). Forms a heterodimer with TXLNG in osteoblasts (PubMed:15911876). Interacts (via its DNA binding domain) with FOXO1 (C-terminal half); the interaction occurs in osteoblasts and regulates glucose homeostasis through suppression of beta-cell proliferation and a decrease in insulin production (PubMed:22298775). Interacts with SATB2; the interaction results in enhanced DNA binding and transactivation by these transcription factors (PubMed:16751105). Interacts with DDIT3/CHOP (By similarity). Interacts with FAM175B (PubMed:22974638). {ECO:0000250|UniProtKB:Q06507, ECO:0000250|UniProtKB:Q9ES19, ECO:0000269|PubMed:11018027, ECO:0000269|PubMed:15911876, ECO:0000269|PubMed:16751105, ECO:0000269|PubMed:22298775, ECO:0000269|PubMed:22974638}.
ENSMUSG00000054894	Q9CRA7	SUBUNIT: Homotetramer. Associates with ATP synthase (By similarity). {ECO:0000250}.
ENSMUSG00000027312	Q9WU60	SUBUNIT: Monomer and homotrimer. {ECO:0000250}.
ENSMUSG00000030314	Q9D906	SUBUNIT: Homodimer. Interacts with ATG3, FOXO1 and EP300 acetyltransferase. The complex, composed of ATG3 and ATG7, plays a role in the conjugation of ATG12 to ATG5. Interacts with FOXO1 (By similarity). Forms intermediate conjugates with ATG8 family proteins such as GABARAP, GABARAPL1, GABARAPL2, MAP1LC3A, or GABARAPL1. Interacts with ATG12. {ECO:0000250, ECO:0000269|PubMed:11890701, ECO:0000269|PubMed:12482611, ECO:0000269|PubMed:16704426}.
ENSMUSG00000019232	Q8BWU8	SUBUNIT: Homotetramer. {ECO:0000250}.
ENSMUSG00000039285	Q9QYP6	SUBUNIT: Homodimer. Interacts with IKBKE, TBK1 and TICAM1. {ECO:0000269|PubMed:17568778}.
ENSMUSG00000003873	Q07813	SUBUNIT: Homodimer. Forms higher oligomers under stress conditions. Interacts with BCL2L11. Interaction with BCL2L11 promotes BAX oligomerization and association with mitochondrial membranes, with subsequent release of cytochrome c. Forms heterodimers with BCL2, E1B 19K protein, BCL2L1 isoform Bcl-X(L), BCL2L2, MCL1 and A1. Interacts with SH3GLB1 and HN. Interacts with SFN and YWHAZ; the interaction occurs in the cytoplasm. Under stress conditions, JNK-mediated phosphorylation of SFN and YWHAZ, releases BAX to mitochondria. Interacts with RNF144B, which regulates the ubiquitin-dependent stability of BAX. Interacts with CLU under stress conditions that cause a conformation change leading to BAX oligomerization and association with mitochondria. Does not interact with CLU in unstressed cells (By similarity). Interacts with FAIM2/LFG2 (By similarity). Interacts with BOP (By similarity). Interacts (via a C-terminal 33 residues) with NOL3 (via CARD domain); inhibits BAX activation and translocationand consequently cytochrome c release from mitochondria. {ECO:0000250, ECO:0000269|PubMed:15383280}.
ENSMUSG00000022508	P41183	SUBUNIT: Homodimer. Interacts (via BTB domain) with the corepressors BCOR, NCOR1 and SMRT/NCOR2; the interactions are direct. Forms preferably ternary complexes with BCOR and SMRT/NCOR2 on target gene promoters but, on enhancer elements, interacts with SMRT/NCOR2 and HDAC3 to repress proximal gene expression. Interacts with histone deacetylases HDAC2, HDAC5 and HDAC9 (via the catalytic domain). Interacts with ZBTB7 and BCL6B. Interacts with SCF(FBXO11) complex; the interaction is independent of phosphorylation and promotes ubiquitination. Interacts (when phosphorylated) with PIN1; the interaction is required for BCL6 degradation upon genotoxic stress. Interacts with ZBTB17; inhibits ZBTB17 transcriptional activity. Interacts with CTBP1, autoinhibits its transcriptional expression. Interacts with NOTCH1 NCID and SIRT1; leads to a epigenetic repression of selective NOTCH1-target genes. Interacts (nor via BTB domain neither acetylated) with the NuRD complex components CHD4, HDAC1, MBD3 and MTA3; the interaction with MTA3 inhibits BCL6 acetylation and is required for BCL6 transpriptional repression. {ECO:0000269|PubMed:23160044, ECO:0000269|PubMed:23455674, ECO:0000269|PubMed:9632807, ECO:0000269|PubMed:9927193}.
