Entry	Gene names	Subunit structure [CC]
P57780	Actn4	SUBUNIT: Homodimer; antiparallel (By similarity). Interacts with BAIAP1 and PDLIM2 (By similarity). Identified in a complex with CASK, IQGAP1, MAGI2, NPHS1, SPTAN1 and SPTBN1 (By similarity). Identified in a IGF2BP1-dependent mRNP granule complex containing untranslated mRNAs. Component of the CART complex, at least composed of ACTN4, HGS/HRS, MYO5B and TRIM3. Binds TRIM3 at the N-terminus. Interacts with MICALL2 (preferentially in opened conformation); stimulated by RAB13 activation. Interacts with PPARG and RARA (By similarity). {ECO:0000250|UniProtKB:O43707, ECO:0000250|UniProtKB:Q9QXQ0, ECO:0000269|PubMed:18332111}.
Q8BXF8	Actrt3 Arpm1	SUBUNIT: Interacts with PFN3. {ECO:0000269|PubMed:18692047}.
O35674	Adam19 Mltnb	SUBUNIT: Interacts with SH3PXD2A. {ECO:0000250}.
Q8C0I1	Agps	SUBUNIT: Homodimer. {ECO:0000250}.
Q8BM81	Aadacl4	
Q8VHH7	Adcy3	
P51829	Adcy7	
Q9QYB8	Add2	SUBUNIT: Found in a complex with ADD2, DMTN and SLC2A1. Interacts with SLC2A1 (By similarity). Heterodimer of an alpha and a beta subunit. {ECO:0000250}.
Q9CQV8	Ywhab	SUBUNIT: Homodimer (By similarity). Interacts with SAMSN1 and PRKCE (PubMed:18604201, PubMed:20478393). Interacts with AKAP13. Interacts with SSH1 and TORC2/CRTC2. Interacts with ABL1; the interaction results in cytoplasmic location of ABL1 and inhibition of cABL-mediated apoptosis. Interacts with ROR2 (dimer); the interaction results in phosphorylation of YWHAB on tyrosine residues. Interacts with GAB2. Interacts with YAP1 (phosphorylated form). Interacts with the phosphorylated (by AKT1) form of SRPK2. Interacts with PKA-phosphorylated AANAT. Interacts with MYO1C. Interacts with SIRT2 (By similarity). Interacts with the 'Thr-369' phosphorylated form of DAPK2 (PubMed:26047703). Interacts with PI4KB, TBC1D22A and TBC1D22B. Interacts with the 'Ser-1134' and 'Ser-1161' phosphorylated form of SOS1 (By similarity). {ECO:0000250|UniProtKB:P31946, ECO:0000269|PubMed:18604201, ECO:0000269|PubMed:20478393, ECO:0000269|PubMed:26047703}.
P68510	Ywhah	SUBUNIT: Homodimer (By similarity). Interacts with many nuclear hormone receptors and cofactors including AR, ESR1, ESR2, MC2R, NR3C1, NRIP1, PPARBP and THRA. Interacts with ABL1 (phosphorylated form); the interaction retains it in the cytoplasm. Weakly interacts with CDKN1B (By similarity). Interacts with ARHGEF28 and CDK16. Interacts with KCNK18 in a phosphorylation-dependent manner. Interacts with SAMSN1. Interacts with the 'Ser-241' phosphorylated form of PDPK1 (By similarity). Interacts with the 'Thr-369' phosphorylated form of DAPK2 (PubMed:26047703). Interacts with PI4KB, TBC1D22A and TBC1D22B (By similarity). {ECO:0000250, ECO:0000250|UniProtKB:Q04917, ECO:0000269|PubMed:26047703}.
P61982	Ywhag	SUBUNIT: Homodimer. Interacts with MDM4 (phosphorylated); negatively regulates MDM4 activity toward TP53. Interacts with RAF1, SSH1 and CRTC2/TORC2. Interacts with ABL1 (phosphorylated form); the interaction retains it in the cytoplasm. Interacts with GAB2. Interacts with PKA-phosphorylated AANAT and SIRT2 (By similarity). Interacts with SAMSN1. Interacts with the 'Thr-369' phosphorylated form of DAPK2 (PubMed:26047703). Interacts with PI4KB, TBC1D22A and TBC1D22B (By similarity). {ECO:0000250, ECO:0000250|UniProtKB:P61981, ECO:0000269|PubMed:20478393, ECO:0000269|PubMed:26047703}.
O70456	Sfn Mkrn3	SUBUNIT: Homodimer. Found in a complex with XPO7, EIF4A1, ARHGAP1, VPS26A, VPS29 and VPS35. Interacts with GAB2 (By similarity). Interacts with KRT17. Interacts with SAMSN1. Interacts with SRPK2 (By similarity). Interacts with COPS6 (By similarity). Interacts with RFWD2; this interaction leads to proteasomal degradation (By similarity).Interacts with the 'Thr-369' phosphorylated form of DAPK2 (PubMed:26047703). Interacts with PI4KB (By similarity). {ECO:0000250, ECO:0000250|UniProtKB:P31947, ECO:0000269|PubMed:26047703}.
P63101	Ywhaz	SUBUNIT: Homodimer. Heterodimerizes with YWHAE (By similarity). Homo- and hetero-dimerization is inhibited by phosphorylation on Ser-58 (By similarity). Interacts with FOXO4, NOXA1, SSH1 and ARHGEF2. Interacts with CDK16 and with WEE1 (C-terminal). Interacts with MLF1 (phosphorylated form); the interaction retains it in the cytoplasm. Interacts with BSPRY. Interacts with Thr-phosphorylated ITGB2 (By similarity). Interacts with Pseudomonas aeruginosa exoS (unphosphorylated form). Interacts with BAX; the interaction occurs in the cytoplasm. Under stress conditions, MAPK8-mediated phosphorylation releases BAX to mitochondria. Interacts with phosphorylated RAF1; the interaction is inhibited when YWHAZ is phosphorylated on Thr-232. Interacts with TP53; the interaction enhances p53 transcriptional activity. The Ser-58 phosphorylated form inhibits this interaction and p53 transcriptional activity. Interacts with ABL1 (phosphorylated form); the interaction retains ABL1 in the cytoplasm. Interacts with PKA-phosphorylated AANAT; the interaction modulates AANAT enzymatic activity by increasing affinity for arylalkylamines and acetyl-CoA and protecting the enzyme from dephosphorylation and proteasomal degradation (By similarity). It may also prevent thiol-dependent inactivation (By similarity). Interacts with AKT1; the interaction phosphorylates YWHAZ and modulates dimerization (By similarity). Interacts with GAB2 (By similarity). Interacts with SAMSN1. Interacts with BCL2L11 and TLK2. Interacts with the 'Thr-369' phosphorylated form of DAPK2 (PubMed:26047703). Interacts with PI4KB, TBC1D22A and TBC1D22B (By similarity). {ECO:0000250, ECO:0000250|UniProtKB:P63104, ECO:0000269|PubMed:10455159, ECO:0000269|PubMed:12176995, ECO:0000269|PubMed:20478393, ECO:0000269|PubMed:21478148, ECO:0000269|PubMed:26047703, ECO:0000269|PubMed:9016762, ECO:0000269|PubMed:9197417}.
Q925E7	Ppp2r2d D7Ertd753e Kiaa1541	SUBUNIT: PP2A consists of a common heterodimeric core enzyme, composed of a 36 kDa catalytic subunit (subunit C) and a 65 kDa constant regulatory subunit (PR65 or subunit A), that associates with a variety of regulatory subunits. Proteins that associate with the core dimer include three families of regulatory subunits B (the R2/B/PR55/B55, R3/B''/PR72/PR130/PR59 and R5/B'/B56 families), the 48 kDa variable regulatory subunit, viral proteins, and cell signaling molecules. Interacts with ENSA (when phosphorylated at 'Ser-67') and ARPP19 (when phosphorylated at 'Ser-62'), leading to inhibit PP2A activity (By similarity). {ECO:0000250}.
Q61767	Hsd3b4	
Q61694	Hsd3b5	
Q78JT3	Haao	SUBUNIT: Monomer. {ECO:0000255|HAMAP-Rule:MF_03019}.
P56379	Mp68	SUBUNIT: Component of an ATP synthase complex composed of ATP5F1, ATP5G1, ATP5E, ATP5H, ATP5I, ATP5J, ATP5J2, MT-ATP6, MT-ATP8, ATP5A1, ATP5B, ATP5D, ATP5C1, ATP5O, ATP5L, USMG5 and MP68. {ECO:0000250}.
Q9DCQ7	Serpina1f	
Q3V1N9	A3galt2 Igb3s	
Q60613	Adora2a	SUBUNIT: Interacts (via cytoplasmic C-terminal domain) with USP4; the interaction is direct. May interact with DRD4. {ECO:0000250}.
P63115	Slc7a10 Asc1	SUBUNIT: Disulfide-linked heterodimer with the amino acid transport protein SLC3A2/4F2hc. {ECO:0000269|PubMed:10734121}.
P51912	Slc1a5 Aaat Asct2 Slc1a7	
Q811W1	Aard	
Q3THG9	Aarsd1 Alax	
P05202	Got2 Got-2	SUBUNIT: Homodimer. {ECO:0000269|PubMed:19826765, ECO:0000269|PubMed:20977429}.
Q8VCV1	Abhd17c	
Q5F2F2	Abhd15	
Q91ZH7	Abhd3 Labh3	
Q922Q6	Abhd14a Dorz1	
Q8CBW3	Abi1 Ssh3bp1	SUBUNIT: Interacts with ENAH, Abelson murine leukemia virus V-ABL, ABL1, STX1A, SNAP25, VAMP2, and through its N-terminus with WASF1. Part of a complex consisting of ABI1, STX1A and SNAP25. Part of a complex consisting of ABI1, EPS8 and SOS1. Interacts with EPS8, SOS1, SOS2, GRB2, SPTA1, and the first SH3 domain of NCK1 (By similarity). Component of the WAVE2 complex composed of ABI1, CYFIP1/SRA1, NCKAP1/NAP1 and WASF2/WAVE2. Interacts (via SH3 domain) with SHANK2 and SHANK3, but not SHANK1; the interaction is direct. Interacts with the heterodimer MYC:MAX; the interaction may enhance MYC:MAX transcriptional activity. {ECO:0000250, ECO:0000269|PubMed:10499589, ECO:0000269|PubMed:12672821, ECO:0000269|PubMed:15143189, ECO:0000269|PubMed:15558031, ECO:0000269|PubMed:7590237}.
Q8BYZ1	Abi3 Nesh	SUBUNIT: May interact with PAK1 and PAK2. Probably interacts with TARSH (By similarity). {ECO:0000250}.
P00520	Abl1 Abl	SUBUNIT: Interacts with INPPL1/SHIP2. Interacts with SORBS1 following insulin stimulation. Found in a trimolecular complex containing CDK5 and CABLES1. Interacts with CABLES1 and PSTPIP1. Interacts with ZDHHC16. Interacts with the 14-3-3 proteins, YWHAB, YWHAE, YWHAG, YWHAH, SFN AND YWHAZ; the interaction with 14-3-3 proteins requires phosphorylation on Thr-734 and sequesters ABL1 into the cytoplasm. Interacts (via SH3 domain) with CASP9; the interaction is direct and increases in the response of cells to genotoxic stress and ABL1/c-Abl activation (By similarity). Interacts with ABI1, ABI2, BCR, CRK, FYN, LYN, PSMA7 RAD9A, RAD51, RAD52, TP73 and WASF3. A complex made of ABL1, CTTN and MYLK regulates cortical actin-based cytoskeletal rearrangement critical to sphingosine 1-phosphate (S1P)-mediated endothelial cell (EC) barrier enhancement. Interacts with STX17; probably phosphorylates STX17 (By similarity). Interacts with ITGB1, HCK and FGR. Found in a complex with ABL1, ABL2, CRK and UNC119; leading to the inhibition of CRK phosphorylation by ABL kinases (By similarity). {ECO:0000250}.
E9Q4Z2	Acacb Acc2 Accb	SUBUNIT: Monomer, homodimer, and homotetramer. Can form filamentous polymers. Interacts with MID1IP1; interaction with MID1IP1 promotes oligomerization and increases its activity. {ECO:0000250|UniProtKB:O00763}.
Q07417	Acads	SUBUNIT: Homotetramer.
Q6ZQK5	Acap2 Centb2 Kiaa0041	SUBUNIT: Interacts with RAB35 (GTP-bound form); the interaction is direct and probably recruits ACAP2 to membranes. Interacts with MICALL1; the interaction is indirect through RAB35. {ECO:0000269|PubMed:23572513}.
P31786	Dbi	SUBUNIT: Monomer.
Q91X60	Chrna2	SUBUNIT: Neuronal AChR seems to be composed of two different types of subunits: alpha and non-alpha (beta). Alpha-2 subunit can be combined to beta-2 or beta-4 to give rise to functional receptors (By similarity). {ECO:0000250}.
A2AKE7	Actl10	
Q9Z2N8	Actl6a Actl6 Baf53a	SUBUNIT: Component of numerous complexes with chromatin remodeling and histone acetyltransferase activity. Component of the NuA4 histone acetyltransferase complex which contains the catalytic subunit KAT5/TIP60 and the subunits EP400, TRRAP/PAF400, BRD8/SMAP, EPC1, DMAP1/DNMAP1, RUVBL1/TIP49, RUVBL2, ING3, actin, ACTL6A/BAF53A, MORF4L1/MRG15, MORF4L2/MRGX, MRGBP, YEATS4/GAS41, VPS72/YL1 and MEAF6. The NuA4 complex interacts with MYC. Component of a NuA4-related complex which contains EP400, TRRAP/PAF400, SRCAP, BRD8/SMAP, EPC1, DMAP1/DNMAP1, RUVBL1/TIP49, RUVBL2, actin, ACTL6A/BAF53A, VPS72 and YEATS4/GAS41. Component of the BAF complex, which includes at least actin (ACTB), ARID1A, ARID1B/BAF250, SMARCA2, SMARCA4/BRG1/BAF190A, ACTL6A/BAF53, ACTL6B/BAF53B, SMARCE1/BAF57, SMARCC1/BAF155, SMARCC2/BAF170, SMARCB1/SNF5/INI1, and one or more of SMARCD1/BAF60A, SMARCD2/BAF60B, or SMARCD3/BAF60C. In muscle cells, the BAF complex also contains DPF3. Component of the BAF53 complex, at least composed of ACTL6A/BAF53A, RUVBL1/TIP49, SMARCA2/BRM/BAF190B, and TRRAP/PAF400, and which may also include a HAT activity related to, but distinct from, that of KAT5. ACTL6A interacts with SMARCA4/BRG1/BAF190A. Component of the chromatin-remodeling INO80 complex; specifically part of a complex module associated with the DBINO domain of INO80. Component of neural progenitors-specific chromatin remodeling complex (npBAF complex) composed of at least, ARID1A/BAF250A or ARID1B/BAF250B, SMARCD1/BAF60A, SMARCD3/BAF60C, SMARCA2/BRM/BAF190B, SMARCA4/BRG1/BAF190A, SMARCB1/BAF47, SMARCC1/BAF155, SMARCE1/BAF57, SMARCC2/BAF170, PHF10/BAF45A, ACTL6A/BAF53A and actin. Interacts with PHF10/BAF45A. {ECO:0000250, ECO:0000269|PubMed:17640523}.
Q9ERZ3	Chrm3 Chrm-3	SUBUNIT: Homodimer; the dimers can form tetramers. {ECO:0000250}.
Q8R519	Acmsd	SUBUNIT: Monomer. {ECO:0000250}.
A2AKK5	Acnat1	
Q32MW3	Acot10	
Q9DBK0	Acot12 Cach Cach1	SUBUNIT: Homodimer or homotetramer. {ECO:0000250}.
Q9CQJ0	Them5 Acot15	SUBUNIT: Homodimer. {ECO:0000250}.
P13011	Scd2	
Q99KI0	Aco2	SUBUNIT: Monomer. {ECO:0000250}.
O55137	Acot1 Cte1	SUBUNIT: Monomer.
Q9QYR9	Acot2 Mte1	SUBUNIT: Monomer.
Q32Q92	Acot6	
Q8JZR0	Acsl5 Facl5	
P63260	Actg1 Actg	SUBUNIT: Polymerization of globular actin (G-actin) leads to a structural filament (F-actin) in the form of a two-stranded helix. Each actin can bind to 4 others.
Q64326	Mc2r Acthr	SUBUNIT: Interacts with MRAP; increasing ligand-sensitivity and generation of cAMP. Interacts with MRAP2; competing with MRAP for binding to MC2R and impairing the binding of corticotropin (ACTH) (By similarity). {ECO:0000250}.
Q91XE4	Acy3 Aspa2	SUBUNIT: Exists as a mixture of homodimers and homotetramer, both catalytically active. {ECO:0000269|PubMed:14656720, ECO:0000269|PubMed:17434493, ECO:0000269|PubMed:20921362}.
O35598	Adam10 Kuz Madm	SUBUNIT: Forms a ternary EFNA5-EPHA3-ADAM10 complex mediating EFNA5 extracellular domain shedding by ADAM10 which regulates the EFNA5-EPHA3 complex internalization and function, the cleavage occurs in trans, with ADAM10 and its substrate being on the membranes of opposing cells (By similarity). Interacts with EPHA2. Interacts with NGF in a divalent cation-dependent manner (By similarity). {ECO:0000250|UniProtKB:O14672, ECO:0000269|PubMed:10958785}.
Q9R157	Adam18 Adam27 Dtgn3 Tmdc3	
P97714	Adra1d Adra1a Gpcr8	SUBUNIT: Interacts with FLNA (via filamin repeat 21); increases PKA-mediated phosphorylation of FLNA. {ECO:0000250|UniProtKB:P25100}.
Q9R160	Adam24	SUBUNIT: Monomer.
Q61072	Adam9 Kiaa0021 Mdc9 Mltng	SUBUNIT: Interacts with SH3GL2 and SNX9 through its cytoplasmic tail (PubMed:10531379). Interacts with ITGA6 (PubMed:10825303). {ECO:0000269|PubMed:10531379, ECO:0000269|PubMed:10825303}.
Q6P6J0	Adat2 Deadc1	
P03958	Ada	SUBUNIT: Interacts with DPP4 (extracellular domain). {ECO:0000250}.
Q60936	Adck3 Cabc1	SUBUNIT: Homodimer; homodimerizes via its transmembrane region. {ECO:0000250|UniProtKB:Q8NI60}.
Q01341	Adcy6	SUBUNIT: Part of a complex containing AKAP5, ADCY5, PDE4C and PKD2 (PubMed:21670265). Interacts with RAF1. Interacts (via cytoplasmic N-terminus) with GNAS, GNB1 and GNG2 (By similarity). {ECO:0000250|UniProtKB:O43306, ECO:0000269|PubMed:21670265}.
Q8R400	Adig Smaf1	
Q8VC66	Ssx2ip	SUBUNIT: Interacts with SSX2 and SSX3 (By similarity). Does not interact with SSX1 and SSX4 (By similarity). Interacts with afadin and alpha-actinin (PubMed:12446711). Interacts with VAV2 (PubMed:22027834). Interacts with PCM1 (PubMed:24356449). Interacts with WRAP73 (By similarity). {ECO:0000250|UniProtKB:Q9Y2D8, ECO:0000269|PubMed:12446711, ECO:0000269|PubMed:22027834, ECO:0000269|PubMed:24356449}.
Q9CQF6	Aasdhppt	SUBUNIT: Monomer. Interacts with FASN (By similarity). {ECO:0000250}.
Q8BQS5	Adipor2 D6Ucla1e	SUBUNIT: May form homooligomers and heterooligomers with ADIPOR1. {ECO:0000250|UniProtKB:Q86V24}.
Q6PDY2	Ado Gm237	
P97783	Mllt11 Af1q	SUBUNIT: Interacts with HSPA8 and LAMP2 isoform A; the interaction may target MLLT11 for degradation via chaperone-mediated autophagy. Interacts with TCF7. {ECO:0000250|UniProtKB:Q13015}.
O88573	Aff1 Mllt2 Mllt2h	SUBUNIT: Component of the super elongation complex (SEC), at least composed of EAF1, EAF2, CDK9, MLLT3/AF9, AFF (AFF1 or AFF4), the P-TEFb complex and ELL (ELL, ELL2 or ELL3). {ECO:0000250}.
Q6PD03	Ppp2r5a	SUBUNIT: PP2A consists of a common heterodimeric core enzyme, composed of a 36 kDa catalytic subunit (subunit C) and a 65 kDa constant regulatory subunit (PR65 or subunit A), that associates with a variety of regulatory subunits. Proteins that associate with the core dimer include three families of regulatory subunits B (the R2/B/PR55/B55, R3/B''/PR72/PR130/PR59 and R5/B'/B56 families), the 48 kDa variable regulatory subunit, viral proteins, and cell signaling molecules. Interacts with SGO1 (By similarity). {ECO:0000250}.
Q8BG02	Ppp2r2c	SUBUNIT: PP2A consists of a common heterodimeric core enzyme, composed of a 36 kDa catalytic subunit (subunit C) and a 65 kDa constant regulatory subunit (PR65 or subunit A), that associates with a variety of regulatory subunits. Proteins that associate with the core dimer include three families of regulatory subunits B (the R2/B/PR55/B55, R3/B''/PR72/PR130/PR59 and R5/B'/B56 families), the 48 kDa variable regulatory subunit, viral proteins, and cell signaling molecules (By similarity). {ECO:0000250}.
Q99L13	Hibadh	SUBUNIT: Homodimer. {ECO:0000250}.
Q9CQ60	Pgls	
Q8C0J2	Atg16l1 Apg16l	SUBUNIT: Interacts with TMEM59, TLR2 and NOD2 (By similarity). Homooligomer. Interacts with WIPI2, FIP200 and ATG5. Part of either the minor and major complexes respectively composed of 4 sets of ATG12-ATG5 and ATG16L1 (400 kDa) or 8 sets of ATG12-ATG5 and ATG16L1 (800 kDa). Interacts with RAB33B. Interacts (via WD repeats) with MEFV (By similarity). {ECO:0000250, ECO:0000250|UniProtKB:Q676U5, ECO:0000269|PubMed:12665549, ECO:0000269|PubMed:18448665, ECO:0000269|PubMed:24954904}.
Q60590	Orm1 Agp1 Orm-1	
P07361	Orm2 Agp-2 Orm-2	
Q00896	Serpina1c Dom3 Dom6 Spi1-3 Spi1-6	
Q00898	Serpina1e Dom5 Spi1-5	
Q6GQT1	A2m A2mp	SUBUNIT: Homotetramer; disulfide-linked. {ECO:0000250|UniProtKB:P01023}.
Q67BJ4	A4galt	
P12023	App	SUBUNIT: Binds, via its C-terminus, to the PID domain of several cytoplasmic proteins, including APBB family members, the APBA family, MAPK8IP1, SHC1, NUMB and DAB1. Binding to DAB1 inhibits its serine phosphorylation. Interacts (via NPXY motif) with DAB2 (via PID domain); the interaction is impaired by tyrosine phosphorylation of the NPXY motif. Also interacts with GPCR-like protein BPP, FPRL1, APPBP1, IB1, KNS2 (via its TPR domains), APPBP2 (via BaSS) and DDB1 (By similarity). In vitro, it binds MAPT via the MT-binding domains (By similarity). Associates with microtubules in the presence of ATP and in a kinesin-dependent manner (By similarity). Interacts, through a C-terminal domain, with GNAO1 (By similarity). Amyloid beta-42 binds CHRNA7 in hippocampal neurons (By similarity). Beta-amyloid associates with HADH2 (By similarity). Interacts with ANKS1B, TNFRSF21 and AGER (By similarity). Interacts with CPEB1. Interacts with ITM2B. Interacts with ITM2C. Interacts with IDE. Can form homodimers; this is promoted by heparin binding (By similarity). Beta-amyloid protein 40 interacts with S100A9 (By similarity). CTF-alpha product of APP interacts with GSAP (By similarity). Interacts with SORL1. Interacts with PLD3 (By similarity). Interacts with VDAC1 (PubMed:25168729). {ECO:0000250, ECO:0000269|PubMed:25168729}.
Q9WVM8	Aadat Kat2	SUBUNIT: Homodimer. {ECO:0000250}.
O54950	Prkag1 Prkaac	SUBUNIT: AMPK is a heterotrimer of an alpha catalytic subunit (PRKAA1 or PRKAA2), a beta (PRKAB1 or PRKAB2) and a gamma non-catalytic subunits (PRKAG1, PRKAG2 or PRKAG3). Interacts with FNIP1 and FNIP2 (By similarity). {ECO:0000250}.
Q9D2V5	Aar2	
Q9JKX4	Aatf Che1 Trb	SUBUNIT: Binds PAWR, POLR2J, RB1/RB, RBL1/P107, RBL2/P130, and SP1. May also bind MAPT (By similarity). {ECO:0000250}.
P41234	Abca2 Abc2	
Q8R420	Abca3	
O35600	Abca4 Abcr	
Q61102	Abcb7 Abc7	SUBUNIT: Homodimer or heterodimer. {ECO:0000305}.
Q9JI39	Abcb10	SUBUNIT: Homodimer or homooligomer. {ECO:0000269|PubMed:15215243}.
Q8K268	Abcf3	
Q99PE8	Abcg5	SUBUNIT: May form heterodimers with ABCG8 or be tightly coupled to ABCG8 along a pathway regulating diatery-sterol absorption and excretion. {ECO:0000250}.
Q99LR1	Abhd12	
Q9QXM0	Abhd2 Labh-2 Labh2	
Q8R2Y0	Abhd6	
Q8VCR7	Abhd14b Cib	SUBUNIT: May interact with TAF1. {ECO:0000250}.
Q80YU0	Abhd16b	
Q4KML4	Abracl	
Q8BUZ1	Abra	SUBUNIT: Binds F-actin and ABLIM1, ABLIM2 AND ABLIM3. Interaction with ABLIM2 AND ABLIM3 enhances activity.
Q5SSL4	Abr	
Q8R4X1	Acer1 Asah3	
Q8VD53	Acer2 Asah3l	
Q9ERK7	Chrnb2	SUBUNIT: Neuronal AChR is composed of two different types of subunits: alpha and beta. Beta-2 subunit can be combined to alpha-2, alpha-3 or alpha-4 to give rise to functional receptors, complexes with beta-2 may be heteropentamers. Interacts with RIC3; which is required for proper folding and assembly (By similarity). {ECO:0000250}.
